Verso Ruso (Original),trad 1,trad 2,trad 3
Я изучил науку расставанья,I have learned the whole art of leave-taking,I have studied the science of parting,I made myself an expert in farewells
В простоволосых жалобах ночных.,In bare-headed night-lamentations.,"in the laments of the night, when a woman’s hair flows loose.","By studying laments, the night-fall of a woman’s hair. / Oxen chew their cud;"
"Жуют волы, и длится ожиданье,",The oxen chew: anticipation lingers,"The oxen chew, and expectation lingers –",anticipation lags;
Последний час вигилий городских.,,the last hour of the town’s vigil;,It is the town’s last restless hour;
"И чту обряд той петушиной ночи,",And I honour the ceremony of that cock-crying night,"and I revere the rites of that night when cocks were crowing,",And I praise that ritual night when the cocks crowed
"Когда, подняв дорожной скорби груз,",When raising their burden of sorrow for a departing traveller,"and when eyes red with crying, lifting their load of itinerant sorrow,","And eyelids, heavy with the griefs that pass,"
Глядели вдаль заплаканные очи,Eyes that were res with weeping gazed into the distance,"gazed into the distance,","Opened to the light, while her weeping flowed"
И женский плач мешался с пеньем муз.,And the wailing of women mingled with the song of the muses.,and a woman’s weeping mingled with the Muses singing.,Into the sound of the Muses singing.
"Кто может знать при слове - расставанье,",In that word “leave-taking” who can tell,"Who knows, when the word ‘parting’ is spoken,","Who knows, when the time comes to say goodbye,"
Какая нам разлука предстоит?,"What kind of separation is in store for us,","what kind of separation lies in store for us,",What separation we are meant to bear
"Что нам сулит петушье восклицанье,",What it is the crying of cock promises,what the cock’s crowing augurs for us,And what for us cockcrow shall signify
Когда огонь в акрополе горит?,When fire burns on the acropolis:,"when the fire burns on the acropolis,","When the acropolis burns like a flare,"
"И на заре какой-то новой жизни,",And in the first red dawn of some new life,"and why at the dawn of some new life,","And why, at the new daybreak of a life."
"Когда в сенях лениво вол жует,","When lazily the ox is chewing in the shade,","when the ox is chewing lazily in the shed,","When the ox is ruminating in his stall,"
"Зачем петух, глашатай новой жизни,","Why does the cock, the new life’s own town-crier",,"The herald cock, prophetic of rebirth."
На городской стене крылами бьет?,On the city wall beat madly with his wings?,"the cock, herald of the new life, flaps its wings on the town wall?",Should flap his wings on the town wall?
И я люблю обыкновенье пряжи:,I love the way the thread is spun –,I like the routine of spinning:,I bless the craft of spinning: the to-and-fro
"Снует челнок, веретено жужжит.","The shuttle runs to and from, the spindle hums –","the shuttle moves to and fro, the spindle hums.","Action of the shuttle, the way the spindle hums."
"Смотри: навстречу, словно пух лебяжий,",Look now – already like swansdown,"Look, barefooted Delia, like swansdown,","Look I barefooted Delia, light as a feather."
Уже босая Делия летит!,Barefooted Delia flies to meet you!,is already flying to meet you.,"Hurries to meet you, flying as she comes. / Oh, how scrawny is the language of joy."
"О, нашей жизни скудная основа!",O the meagre pattern of our life –,"Oh, how scanty is the language of joy,",That weak foundation of our mortal lot!
Куда как беден радости язык!,Even our happiest words are threadbare!,that meagre foundation of our life,Everything happened before;
Всё было встарь. Всё повторится снова.,Everything has been of old and will be again:,"All was before, all will be repeated again,",it will happen again.
И сладок нам лишь узнаванья миг.,"For us, only the moment of recognition is sweet.",and only the moment of recognition brings us delight.,Only the flash of recognition brings delight.
Да будет так: прозрачная фигурка,So let it be: the little gleaming image,"So let it be: a small transparent figures lies,","Be it so: a small transparent puppet lies,"
На чистом блюде глиняном лежит.,Lies on the spotless earthen dish.,"like a stretched out squirrel-skin,",
"Как беличья распластанная шкурка,",Like the stretched-out skin of a squirrel,on a clean earthenware dish;,Like a dried squirrel skin / Extended on a plate.
"Склонясь над воском, девушка глядит.",Stooping over the wax the young girl gazes.,"a girl is gazing, bending down over the wax. / It is not for us to tell fortunes about the","While a girl crouches, staring, over the image."
"Не нам гадать о греческом Эребе,",It is not for us to guess about Grecian Erebus:,Greek Erebus;,
"Для женщин воск - что для мужчины медь,",What´s bronze form man for woman is only wax.,wax is for women what bronze is for men.,"Wax is for women what bronze is for men. / We, who cannot prophesy of Erebus,"
"Нам только в битвах выпадает жребий,",Our destiny befalls us only in battles –,It is only in battle that the lot falls upon us;,Only in battle dare confront our fate —
А им дано гадая умереть.,They see the future as they die.,but to them it is given to die while telling fortunes.,But their gift is to die while telling fortunes.
